Location,Market Size,Product Type,Sales
Central,Small Market,Espresso,43
Central,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
West,Small Market,Espresso,43
Central,Major Market,Herbal Tea,44
East,Major Market,Tea,44
East,Major Market,Tea,44
East,Major Market,Tea,44
West,Small Market,Tea,44
West,Small Market,Tea,44
South,Small Market,Herbal Tea,44
Central,Major Market,Herbal Tea,44
Central,Small Market,Espresso,44
West,Small Market,Tea,44
Central,Small Market,Coffee,44
East,Small Market,Tea,44
Central,Major Market,Herbal Tea,44
Central,Major Market,Herbal Tea,44
East,Major Market,Tea,44
West,Small Market,Espresso,44
West,Small Market,Espresso,44
South,Small Market,Espresso,44
South,Small Market,Espresso,44
South,Small Market,Espresso,44
South,Small Market,Espresso,44
West,Small Market,Tea,44
Central,Small Market,Coffee,45
West,Small Market,Tea,45
South,Small Market,Herbal Tea,45
South,Small Market,Herbal Tea,45
South,Small Market,Herbal Tea,45
South,Small Market,Espresso,45
Central,Small Market,Tea,45
East,Small Market,Tea,45
East,Small Market,Tea,45
East,Small Market,Tea,45
East,Small Market,Espresso,45
West,Small Market,Espresso,45
Central,Small Market,Coffee,45
Central,Small Market,Coffee,45
West,Small Market,Espresso,45
West,Small Market,Espresso,45
Central,Small Market,Espresso,46
Central,Small Market,Espresso,46
Central,Small Market,Espresso,46
Central,Small Market,Espresso,46
Central,Small Market,Espresso,46
East,Small Market,Tea,46
East,Small Market,Tea,46
East,Small Market,Tea,46
East,Small Market,Tea,46
East,Small Market,Tea,46
East,Small Market,Tea,46
East,Small Market,Tea,46
West,Small Market,Espresso,46
Central,Small Market,Espresso,46
Central,Small Market,Espresso,46
Central,Small Market,Espresso,46
West,Small Market,Espresso,46
West,Small Market,Espresso,46
West,Small Market,Espresso,46
West,Small Market,Espresso,46
West,Small Market,Espresso,46
West,Small Market,Espresso,46
West,Small Market,Espresso,46
East,Small Market,Tea,47
Central,Small Market,Espresso,47
South,Small Market,Herbal Tea,47
Central,Small Market,Coffee,47
East,Small Market,Tea,47
West,Small Market,Espresso,47
West,Small Market,Espresso,47
East,Small Market,Tea,47
Central,Small Market,Coffee,48
Central,Small Market,Coffee,48
West,Small Market,Tea,48
South,Small Market,Herbal Tea,48
South,Small Market,Herbal Tea,48
South,Small Market,Herbal Tea,48
South,Small Market,Espresso,48
Central,Small Market,Espresso,48
Central,Small Market,Espresso,48
East,Small Market,Tea,48
East,Small Market,Tea,48
East,Small Market,Tea,48
East,Small Market,Tea,48
East,Small Market,Espresso,48
West,Small Market,Espresso,48
West,Small Market,Espresso,48
West,Small Market,Espresso,48
Central,Small Market,Coffee,48
West,Small Market,Espresso,48
West,Small Market,Espresso,48
Central,Small Market,Tea,48
Central,Small Market,Coffee,49
Central,Small Market,Coffee,49
Central,Small Market,Espresso,49
South,Small Market,Espresso,49
East,Major Market,Tea,49
Central,Major Market,Herbal Tea,49
West,Small Market,Tea,49
West,Small Market,Tea,49
South,Small Market,Herbal Tea,49
South,Small Market,Herbal Tea,49
Central,Small Market,Espresso,49
East,Small Market,Tea,49
East,Small Market,Tea,49
Central,Major Market,Herbal Tea,49
Central,Small Market,Espresso,49
West,Small Market,Espresso,49
West,Small Market,Espresso,49
Central,Small Market,Coffee,49
Central,Small Market,Espresso,49
West,Small Market,Espresso,49
West,Small Market,Espresso,49
West,Small Market,Espresso,49
West,Small Market,Espresso,49
East,Major Market,Tea,49
South,Small Market,Espresso,49
South,Small Market,Herbal Tea,50
South,Small Market,Herbal Tea,50
Central,Small Market,Coffee,50
West,Small Market,Tea,50
Central,Small Market,Coffee,50
South,Small Market,Espresso,50
East,Small Market,Tea,50
East,Small Market,Tea,50
East,Major Market,Tea,50
West,Small Market,Espresso,50
West,Small Market,Espresso,50
Central,Small Market,Espresso,50
West,Small Market,Espresso,50
Central,Major Market,Herbal Tea,50
East,Small Market,Tea,51
West,Small Market,Espresso,51
Central,Small Market,Coffee,51
East,Major Market,Herbal Tea,51
East,Small Market,Tea,51
South,Small Market,Herbal Tea,51
East,Small Market,Tea,51
West,Small Market,Espresso,51
Central,Small Market,Espresso,51
East,Small Market,Tea,51
East,Small Market,Tea,51
West,Small Market,Espresso,52
South,Small Market,Herbal Tea,52
Central,Small Market,Coffee,52
Central,Small Market,Coffee,52
Central,Small Market,Coffee,52
East,Major Market,Herbal Tea,52
Central,Small Market,Coffee,52
East,Small Market,Tea,52
Central,Small Market,Coffee,52
West,Small Market,Espresso,52
Central,Small Market,Coffee,52
Central,Small Market,Espresso,52
Central,Major Market,Herbal Tea,53
Central,Major Market,Herbal Tea,53
South,Small Market,Espresso,53
East,Major Market,Tea,53
West,Small Market,Tea,53
Central,Major Market,Herbal Tea,53
Central,Small Market,Espresso,53
West,Small Market,Tea,53
West,Small Market,Tea,53
Central,Small Market,Espresso,53
South,Small Market,Espresso,53
South,Small Market,Espresso,53
East,Major Market,Tea,53
West,Small Market,Espresso,53
West,Small Market,Espresso,53
East,Major Market,Tea,53
East,Major Market,Tea,53
South,Small Market,Espresso,53
Central,Major Market,Herbal Tea,53
West,Small Market,Tea,53
West,Small Market,Espresso,54
Central,Small Market,Espresso,54
Central,Small Market,Tea,54
West,Small Market,Tea,54
South,Small Market,Espresso,54
Central,Small Market,Coffee,54
East,Small Market,Espresso,54
Central,Small Market,Coffee,54
Central,Small Market,Coffee,54
Central,Small Market,Coffee,54
Central,Small Market,Coffee,54
East,Major Market,Herbal Tea,54
Central,Major Market,Herbal Tea,55
South,Small Market,Coffee,55
West,Small Market,Espresso,55
South,Small Market,Herbal Tea,55
East,Major Market,Tea,55
East,Major Market,Tea,55
Central,Major Market,Herbal Tea,55
Central,Small Market,Coffee,55
East,Small Market,Tea,55
East,Major Market,Herbal Tea,55
West,Small Market,Espresso,55
South,Small Market,Coffee,55
Central,Small Market,Espresso,55
Central,Major Market,Herbal Tea,56
Central,Major Market,Herbal Tea,56
West,Small Market,Espresso,56
Central,Small Market,Espresso,56
Central,Major Market,Herbal Tea,56
South,Small Market,Espresso,56
East,Major Market,Tea,56
Central,Small Market,Tea,56
West,Small Market,Tea,56
South,Small Market,Espresso,56
Central,Small Market,Espresso,56
West,Small Market,Tea,56
West,Small Market,Tea,56
West,Small Market,Tea,56
South,Small Market,Espresso,56
South,Small Market,Espresso,56
East,Small Market,Espresso,56
East,Major Market,Herbal Tea,56
East,Major Market,Tea,56
West,Small Market,Espresso,56
East,Major Market,Tea,56
East,Major Market,Tea,56
East,Small Market,Tea,56
South,Small Market,Coffee,56
South,Small Market,Espresso,56
Central,Major Market,Herbal Tea,56
Central,Major Market,Herbal Tea,56
West,Small Market,Tea,56
East,Major Market,Tea,56
Central,Small Market,Coffee,57
South,Small Market,Coffee,57
East,Major Market,Tea,57
East,Small Market,Tea,57
South,Small Market,Herbal Tea,57
Central,Small Market,Espresso,57
East,Small Market,Tea,57
Central,Major Market,Herbal Tea,57
West,Small Market,Espresso,57
West,Small Market,Espresso,57
East,Small Market,Tea,57
Central,Small Market,Coffee,58
Central,Small Market,Espresso,58
West,Small Market,Tea,58
South,Small Market,Herbal Tea,58
South,Small Market,Espresso,58
Central,Small Market,Espresso,58
Central,Small Market,Espresso,58
East,Small Market,Tea,58
East,Small Market,Espresso,58
Central,Small Market,Coffee,58
Central,Small Market,Coffee,58
Central,Small Market,Tea,58
West,Small Market,Espresso,58
West,Small Market,Espresso,58
West,Small Market,Espresso,58
West,Small Market,Espresso,58
Central,Small Market,Espresso,58
West,Small Market,Espresso,58
Central,Major Market,Herbal Tea,59
East,Major Market,Tea,59
South,Small Market,Coffee,59
West,Small Market,Espresso,60
South,Small Market,Coffee,60
Central,Major Market,Herbal Tea,60
West,Small Market,Tea,60
West,Small Market,Tea,60
South,Small Market,Herbal Tea,60
South,Small Market,Espresso,60
Central,Major Market,Herbal Tea,60
Central,Small Market,Coffee,60
Central,Small Market,Espresso,60
West,Small Market,Herbal Tea,60
Central,Small Market,Tea,60
South,Small Market,Espresso,60
East,Small Market,Tea,60
East,Small Market,Espresso,60
Central,Small Market,Espresso,60
West,Small Market,Espresso,60
Central,Small Market,Coffee,60
West,Small Market,Espresso,60
East,Major Market,Tea,60
East,Major Market,Herbal Tea,60
East,Small Market,Tea,60
East,Major Market,Tea,60
East,Major Market,Espresso,61
Central,Small Market,Coffee,61
East,Major Market,Espresso,61
South,Small Market,Herbal Tea,61
South,Small Market,Herbal Tea,61
Central,Small Market,Coffee,61
West,Small Market,Herbal Tea,61
East,Major Market,Espresso,61
East,Small Market,Tea,61
West,Small Market,Coffee,61
West,Small Market,Espresso,61
East,Small Market,Tea,61
West,Small Market,Herbal Tea,61
West,Small Market,Herbal Tea,61
Central,Small Market,Coffee,62
Central,Small Market,Espresso,62
East,Small Market,Tea,62
South,Small Market,Herbal Tea,62
South,Small Market,Herbal Tea,62
Central,Small Market,Espresso,62
East,Small Market,Tea,62
Central,Small Market,Coffee,62
Central,Small Market,Espresso,62
West,Small Market,Espresso,62
West,Small Market,Coffee,62
West,Small Market,Espresso,62
West,Small Market,Espresso,62
West,Small Market,Espresso,62
East,Small Market,Tea,62
West,Small Market,Herbal Tea,62
Central,Small Market,Coffee,63
West,Small Market,Herbal Tea,63
South,Small Market,Herbal Tea,63
South,Small Market,Herbal Tea,63
South,Small Market,Herbal Tea,63
East,Small Market,Tea,63
East,Major Market,Espresso,63
Central,Small Market,Coffee,63
Central,Small Market,Coffee,63
West,Small Market,Coffee,63
West,Small Market,Coffee,63
West,Small Market,Espresso,63
East,Small Market,Tea,64
Central,Small Market,Tea,64
West,Small Market,Tea,64
West,Small Market,Herbal Tea,64
South,Small Market,Herbal Tea,64
South,Small Market,Espresso,64
Central,Small Market,Coffee,64
East,Small Market,Espresso,64
West,Small Market,Coffee,64
Central,Small Market,Tea,65
Central,Small Market,Coffee,65
West,Small Market,Tea,65
West,Small Market,Tea,65
West,Small Market,Tea,65
West,Small Market,Herbal Tea,65
South,Small Market,Herbal Tea,65
South,Small Market,Espresso,65
South,Small Market,Espresso,65
South,Small Market,Espresso,65
Central,Small Market,Tea,65
East,Major Market,Espresso,65
East,Small Market,Espresso,65
East,Small Market,Espresso,65
East,Small Market,Espresso,65
Central,Small Market,Tea,65
West,Small Market,Coffee,65
East,Major Market,Espresso,65
West,Small Market,Herbal Tea,65
East,Major Market,Espresso,66
East,Small Market,Tea,66
East,Small Market,Tea,66
East,Major Market,Tea,66
Central,Major Market,Herbal Tea,66
East,Major Market,Espresso,66
South,Small Market,Coffee,66
East,Small Market,Tea,66
South,Small Market,Herbal Tea,67
South,Small Market,Herbal Tea,67
South,Small Market,Herbal Tea,67
Central,Small Market,Coffee,67
West,Small Market,Herbal Tea,67
Central,Small Market,Coffee,67
Central,Small Market,Coffee,67
West,Small Market,Coffee,67
West,Small Market,Coffee,67
West,Small Market,Coffee,67
East,Major Market,Espresso,67
Central,Small Market,Espresso,68
Central,Small Market,Tea,68
West,Small Market,Espresso,68
West,Small Market,Tea,68
South,Small Market,Herbal Tea,68
South,Small Market,Herbal Tea,68
South,Small Market,Herbal Tea,68
South,Small Market,Espresso,68
Central,Small Market,Coffee,68
Central,Small Market,Coffee,68
Central,Small Market,Coffee,68
East,Major Market,Espresso,68
West,Small Market,Herbal Tea,68
East,Major Market,Espresso,68
East,Small Market,Espresso,68
East,Major Market,Espresso,68
West,Small Market,Coffee,68
West,Small Market,Coffee,68
West,Small Market,Coffee,68
East,Major Market,Herbal Tea,68
West,Small Market,Espresso,69
Central,Small Market,Espresso,69
Central,Small Market,Tea,69
South,Small Market,Herbal Tea,69
South,Small Market,Herbal Tea,69
South,Small Market,Herbal Tea,69
South,Small Market,Espresso,69
Central,Small Market,Coffee,69
East,Small Market,Espresso,69
Central,Small Market,Coffee,69
Central,Small Market,Coffee,69
East,Major Market,Espresso,69
West,Small Market,Coffee,69
West,Small Market,Coffee,69
West,Small Market,Coffee,69
West,Small Market,Tea,69
East,Major Market,Herbal Tea,69
East,Major Market,Espresso,69
West,Small Market,Herbal Tea,69
East,Major Market,Espresso,70
East,Major Market,Tea,70
South,Small Market,Coffee,70
Central,Major Market,Herbal Tea,70
South,Small Market,Herbal Tea,70
Central,Small Market,Coffee,70
East,Major Market,Tea,70
West,Small Market,Coffee,70
East,Major Market,Espresso,70
South,Small Market,Coffee,70
Central,Major Market,Herbal Tea,70
East,Small Market,Tea,70
East,Major Market,Tea,70
South,Small Market,Coffee,71
Central,Major Market,Herbal Tea,71
East,Major Market,Espresso,71
East,Major Market,Tea,71
Central,Small Market,Coffee,72
East,Major Market,Tea,72
Central,Major Market,Herbal Tea,72
West,Small Market,Tea,72
South,Small Market,Herbal Tea,72
South,Small Market,Herbal Tea,72
South,Small Market,Espresso,72
Central,Small Market,Coffee,72
East,Major Market,Espresso,72
Central,Small Market,Tea,72
South,Small Market,Coffee,72
East,Small Market,Espresso,72
West,Small Market,Coffee,72
West,Small Market,Coffee,72
East,Major Market,Espresso,72
West,Small Market,Tea,73
West,Small Market,Herbal Tea,73
South,Small Market,Espresso,73
South,Small Market,Espresso,73
East,Small Market,Espresso,73
Central,Small Market,Tea,73
East,Major Market,Tea,73
Central,Major Market,Herbal Tea,73
West,Small Market,Tea,73
Central,Small Market,Tea,74
Central,Small Market,Coffee,74
West,Small Market,Herbal Tea,74
West,Small Market,Herbal Tea,74
South,Small Market,Herbal Tea,74
South,Small Market,Herbal Tea,74
Central,Small Market,Tea,74
East,Small Market,Herbal Tea,74
East,Small Market,Herbal Tea,74
Central,Small Market,Coffee,74
West,Small Market,Coffee,74
West,Small Market,Coffee,74
West,Small Market,Coffee,74
West,Small Market,Coffee,74
East,Major Market,Espresso,74
East,Major Market,Tea,75
South,Small Market,Coffee,75
Central,Small Market,Tea,75
Central,Small Market,Tea,75
West,Small Market,Tea,75
West,Small Market,Herbal Tea,75
South,Small Market,Herbal Tea,75
South,Small Market,Espresso,75
South,Small Market,Espresso,75
Central,Small Market,Tea,75
East,Small Market,Herbal Tea,75
East,Small Market,Espresso,75
East,Small Market,Espresso,75
Central,Major Market,Herbal Tea,75
West,Small Market,Coffee,75
Central,Small Market,Coffee,75
West,Small Market,Coffee,75
East,Major Market,Tea,75
West,Small Market,Tea,75
East,Major Market,Tea,75
West,Small Market,Espresso,76
Central,Small Market,Tea,76
East,Major Market,Espresso,76
Central,Small Market,Tea,76
South,Small Market,Espresso,76
South,Small Market,Espresso,76
East,Major Market,Herbal Tea,76
East,Small Market,Herbal Tea,76
East,Small Market,Espresso,76
East,Small Market,Espresso,76
Central,Small Market,Espresso,76
Central,Small Market,Tea,76
West,Small Market,Coffee,76
West,Small Market,Tea,76
West,Small Market,Tea,76
East,Major Market,Espresso,77
Central,Small Market,Tea,77
Central,Small Market,Espresso,77
East,Major Market,Espresso,77
West,Small Market,Tea,77
West,Small Market,Espresso,77
South,Small Market,Herbal Tea,77
South,Small Market,Espresso,77
Central,Small Market,Coffee,77
South,Small Market,Coffee,77
East,Small Market,Herbal Tea,77
East,Small Market,Espresso,77
Central,Major Market,Herbal Tea,77
East,Major Market,Tea,77
Central,Small Market,Tea,77
West,Small Market,Coffee,77
West,Small Market,Coffee,77
Central,Small Market,Herbal Tea,78
West,Small Market,Tea,78
South,Small Market,Coffee,78
South,Small Market,Espresso,78
East,Major Market,Espresso,78
West,Small Market,Tea,78
East,Major Market,Tea,78
Central,Small Market,Tea,78
South,Small Market,Espresso,78
East,Small Market,Espresso,78
Central,Major Market,Herbal Tea,78
East,Major Market,Tea,78
Central,Small Market,Tea,79
South,Small Market,Coffee,79
Central,Small Market,Espresso,79
West,Small Market,Espresso,79
West,Small Market,Espresso,79
Central,Small Market,Tea,79
Central,Small Market,Tea,79
Central,Small Market,Espresso,79
East,Small Market,Herbal Tea,79
East,Small Market,Herbal Tea,79
East,Small Market,Herbal Tea,79
Central,Small Market,Espresso,79
West,Small Market,Coffee,79
Central,Major Market,Herbal Tea,79
West,Small Market,Coffee,79
West,Small Market,Coffee,79
West,Small Market,Espresso,79
East,Major Market,Tea,79
Central,Small Market,Tea,80
East,Major Market,Tea,80
Central,Major Market,Herbal Tea,80
East,Major Market,Tea,80
East,Major Market,Tea,80
South,Small Market,Coffee,80
South,Small Market,Espresso,80
Central,Small Market,Espresso,80
West,Small Market,Tea,80
South,Small Market,Espresso,80
East,Major Market,Tea,80
West,Small Market,Tea,80
South,Small Market,Coffee,80
South,Small Market,Coffee,80
East,Small Market,Herbal Tea,80
East,Small Market,Herbal Tea,80
East,Small Market,Espresso,80
Central,Small Market,Tea,80
Central,Small Market,Tea,80
West,Small Market,Coffee,80
West,Small Market,Coffee,80
Central,Major Market,Herbal Tea,80
Central,Major Market,Herbal Tea,80
East,Major Market,Tea,80
East,Major Market,Tea,80
West,Small Market,Espresso,80
South,Small Market,Espresso,80
Central,Major Market,Herbal Tea,80
Central,Major Market,Herbal Tea,80
East,Major Market,Tea,80
West,Small Market,Tea,80
East,Major Market,Tea,80
Central,Small Market,Espresso,81
West,Small Market,Espresso,81
Central,Small Market,Tea,81
West,Small Market,Tea,81
West,Small Market,Espresso,81
South,Small Market,Espresso,81
Central,Small Market,Tea,81
Central,Small Market,Tea,81
East,Small Market,Herbal Tea,81
East,Small Market,Herbal Tea,81
East,Small Market,Herbal Tea,81
East,Small Market,Espresso,81
West,Small Market,Coffee,81
West,Small Market,Coffee,81
Central,Small Market,Espresso,81
Central,Small Market,Herbal Tea,81
East,Major Market,Herbal Tea,81
East,Major Market,Tea,81
West,Small Market,Coffee,81
Central,Small Market,Tea,81
East,Major Market,Tea,81
West,Small Market,Herbal Tea,81
South,Small Market,Coffee,81
South,Small Market,Coffee,82
Central,Small Market,Tea,82
Central,Small Market,Tea,82
Central,Major Market,Herbal Tea,82
West,Small Market,Herbal Tea,82
Central,Small Market,Tea,82
West,Small Market,Espresso,82
West,Small Market,Tea,82
West,Small Market,Tea,82
West,Small Market,Tea,82
West,Small Market,Espresso,82
South,Small Market,Espresso,82
South,Small Market,Espresso,82
South,Small Market,Espresso,82
Central,Small Market,Tea,82
South,Small Market,Coffee,82
East,Small Market,Herbal Tea,82
East,Small Market,Herbal Tea,82
East,Small Market,Herbal Tea,82
East,Major Market,Tea,82
Central,Small Market,Espresso,82
West,Small Market,Coffee,82
West,Small Market,Coffee,82
West,Small Market,Coffee,82
Central,Small Market,Tea,82
Central,Small Market,Espresso,82
Central,Small Market,Tea,82
East,Small Market,Tea,82
East,Small Market,Tea,82
East,Small Market,Tea,83
Central,Small Market,Espresso,83
West,Small Market,Espresso,83
South,Small Market,Coffee,83
Central,Small Market,Herbal Tea,83
East,Major Market,Tea,83
South,Major Market,Herbal Tea,84
Central,Major Market,Coffee,84
South,Major Market,Herbal Tea,84
Central,Small Market,Tea,84
Central,Small Market,Espresso,84
Central,Major Market,Coffee,84
South,Small Market,Coffee,84
East,Major Market,Tea,84
Central,Small Market,Espresso,84
West,Small Market,Espresso,84
West,Small Market,Espresso,84
West,Small Market,Coffee,84
Central,Major Market,Herbal Tea,84
West,Small Market,Coffee,84
East,Small Market,Herbal Tea,84
West,Small Market,Coffee,84
South,Small Market,Coffee,85
South,Small Market,Coffee,85
Central,Major Market,Coffee,85
South,Major Market,Herbal Tea,85
South,Major Market,Herbal Tea,85
West,Small Market,Herbal Tea,85
Central,Small Market,Tea,85
West,Small Market,Tea,85
Central,Major Market,Herbal Tea,85
West,Small Market,Coffee,85
West,Small Market,Tea,85
South,Small Market,Espresso,85
East,Major Market,Tea,85
Central,Major Market,Coffee,85
Central,Major Market,Herbal Tea,85
West,Small Market,Coffee,85
Central,Small Market,Tea,85
South,Small Market,Coffee,85
South,Small Market,Espresso,85
East,Small Market,Herbal Tea,85
East,Small Market,Herbal Tea,85
Central,Small Market,Herbal Tea,85
West,Small Market,Coffee,85
West,Small Market,Coffee,85
Central,Small Market,Tea,85
East,Major Market,Tea,85
East,Major Market,Tea,85
East,Major Market,Tea,85
East,Major Market,Tea,85
Central,Small Market,Tea,86
West,Small Market,Espresso,86
West,Small Market,Espresso,86
West,Small Market,Herbal Tea,86
South,Small Market,Coffee,86
West,Small Market,Herbal Tea,86
East,Small Market,Herbal Tea,86
Central,Small Market,Espresso,86
Central,Small Market,Espresso,86
West,Major Market,Coffee,86
West,Small Market,Coffee,86
West,Major Market,Coffee,86
East,Major Market,Tea,86
East,Small Market,Tea,86
East,Small Market,Tea,87
West,Major Market,Coffee,87
South,Small Market,Coffee,87
Central,Small Market,Tea,87
West,Small Market,Tea,87
Central,Major Market,Herbal Tea,87
South,Small Market,Espresso,87
South,Small Market,Espresso,87
West,Small Market,Herbal Tea,87
West,Major Market,Coffee,87
Central,Small Market,Espresso,87
Central,Small Market,Tea,87
East,Major Market,Tea,87
West,Small Market,Espresso,87
West,Small Market,Tea,87
South,Small Market,Coffee,87
East,Small Market,Tea,87
West,Small Market,Herbal Tea,87
East,Major Market,Tea,87
East,Major Market,Tea,88
West,Small Market,Tea,88
West,Small Market,Tea,88
West,Small Market,Espresso,88
South,Small Market,Espresso,88
South,Small Market,Espresso,88
Central,Major Market,Coffee,88
South,Small Market,Coffee,88
East,Small Market,Herbal Tea,88
East,Small Market,Espresso,88
Central,Major Market,Herbal Tea,88
Central,Small Market,Tea,88
Central,Small Market,Espresso,88
Central,Small Market,Tea,88
Central,Major Market,Herbal Tea,88
West,Small Market,Coffee,88
Central,Small Market,Tea,88
East,Major Market,Tea,88
West,Small Market,Coffee,88
West,Small Market,Tea,89
South,Small Market,Espresso,89
Central,Small Market,Tea,89
Central,Small Market,Coffee,89
East,Major Market,Tea,89
West,Small Market,Tea,89
West,Small Market,Espresso,89
South,Small Market,Espresso,89
South,Small Market,Espresso,89
South,Small Market,Herbal Tea,89
South,Small Market,Espresso,89
West,Small Market,Tea,89
West,Small Market,Coffee,89
Central,Small Market,Espresso,89
Central,Small Market,Tea,89
East,Small Market,Espresso,89
Central,Major Market,Coffee,89
West,Small Market,Coffee,89
Central,Small Market,Tea,89
West,Small Market,Tea,89
Central,Small Market,Tea,89
Central,Major Market,Herbal Tea,89
East,Small Market,Tea,90
West,Small Market,Tea,90
West,Major Market,Herbal Tea,90
South,Major Market,Coffee,90
South,Small Market,Espresso,90
East,Major Market,Tea,90
West,Small Market,Tea,90
South,Small Market,Espresso,90
South,Small Market,Espresso,90
South,Small Market,Herbal Tea,90
West,Small Market,Tea,90
West,Small Market,Tea,90
Central,Small Market,Coffee,90
Central,Major Market,Herbal Tea,90
Central,Small Market,Herbal Tea,90
South,Small Market,Espresso,90
East,Small Market,Espresso,90
Central,Major Market,Herbal Tea,90
Central,Major Market,Herbal Tea,90
West,Small Market,Coffee,90
Central,Major Market,Coffee,90
Central,Major Market,Tea,90
East,Major Market,Tea,90
South,Small Market,Coffee,90
Central,Small Market,Tea,90
Central,Small Market,Tea,90
West,Small Market,Herbal Tea,90
East,Major Market,Tea,90
East,Small Market,Tea,91
East,Major Market,Tea,91
Central,Small Market,Espresso,91
Central,Small Market,Tea,91
Central,Small Market,Tea,91
South,Small Market,Coffee,91
East,Major Market,Tea,91
South,Small Market,Coffee,91
Central,Small Market,Tea,91
West,Small Market,Espresso,91
West,Small Market,Tea,91
South,Small Market,Espresso,91
South,Small Market,Espresso,91
South,Small Market,Espresso,91
Central,Small Market,Tea,91
East,Small Market,Herbal Tea,91
Central,Small Market,Herbal Tea,91
West,Small Market,Coffee,91
Central,Small Market,Herbal Tea,91
West,Small Market,Tea,91
West,Small Market,Tea,91
East,Major Market,Tea,91
Central,Major Market,Tea,91
South,Small Market,Coffee,92
Central,Major Market,Coffee,92
Central,Small Market,Tea,92
West,Small Market,Herbal Tea,92
West,Small Market,Espresso,92
West,Small Market,Tea,92
West,Small Market,Tea,92
West,Small Market,Coffee,92
South,Small Market,Espresso,92
South,Small Market,Espresso,92
South,Small Market,Espresso,92
West,Small Market,Herbal Tea,92
Central,Small Market,Tea,92
Central,Small Market,Tea,92
Central,Small Market,Espresso,92
West,Major Market,Herbal Tea,92
Central,Major Market,Herbal Tea,92
West,Small Market,Tea,92
South,Major Market,Coffee,92
East,Small Market,Tea,92
Central,Major Market,Coffee,92
South,Major Market,Herbal Tea,92
South,Major Market,Herbal Tea,93
West,Small Market,Herbal Tea,93
West,Small Market,Coffee,93
West,Small Market,Coffee,93
East,Major Market,Tea,93
South,Small Market,Coffee,93
East,Small Market,Coffee,93
Central,Major Market,Coffee,93
West,Small Market,Herbal Tea,93
Central,Major Market,Tea,93
West,Small Market,Herbal Tea,93
Central,Major Market,Tea,94
Central,Major Market,Herbal Tea,94
South,Small Market,Coffee,94
East,Major Market,Tea,94
Central,Small Market,Tea,94
Central,Major Market,Herbal Tea,94
East,Small Market,Tea,94
West,Small Market,Coffee,94
West,Small Market,Herbal Tea,94
South,Small Market,Espresso,94
West,Small Market,Herbal Tea,94
Central,Major Market,Coffee,94
